fight_id;fight_alternate_id;RedOdds;BlueOdds;RedExpectedValue;BlueExpectedValue;Date;Location;Country;Winner;TitleBout;WeightClass;Gender;NumberOfRounds;BlueCurrentLoseStreak;BlueCurrentWinStreak;BlueDraws;BlueAvgSigStrLanded;BlueAvgSigStrPct;BlueAvgSubAtt;BlueAvgTDLanded;BlueAvgTDPct;BlueLongestWinStreak;BlueLosses;BlueTotalRoundsFought;BlueTotalTitleBouts;BlueWinsByDecisionMajority;BlueWinsByDecisionSplit;BlueWinsByDecisionUnanimous;BlueWinsByKO;BlueWinsBySubmission;BlueWinsByTKODoctorStoppage;BlueWins;BlueWeightLbs;RedCurrentLoseStreak;RedCurrentWinStreak;RedDraws;RedAvgSigStrLanded;RedAvgSigStrPct;RedAvgSubAtt;RedAvgTDLanded;RedAvgTDPct;RedLongestWinStreak;RedLosses;RedTotalRoundsFought;RedTotalTitleBouts;RedWinsByDecisionMajority;RedWinsByDecisionSplit;RedWinsByDecisionUnanimous;RedWinsByKO;RedWinsBySubmission;RedWinsByTKODoctorStoppage;RedWins;RedWeightLbs;RedAge;BlueAge;LoseStreakDif;WinStreakDif;LongestWinStreakDif;WinDif;LossDif;TotalRoundDif;TotalTitleBoutDif;KODif;SubDif;HeightDif;ReachDif;AgeDif;SigStrDif;AvgSubAttDif;AvgTDDif;EmptyArena;BMatchWCRank;RMatchWCRank;RWFlyweightRank;RWFeatherweightRank;RWStrawweightRank;RWBantamweightRank;RHeavyweightRank;RLightHeavyweightRank;RMiddleweightRank;RWelterweightRank;RLightweightRank;RFeatherweightRank;RBantamweightRank;RFlyweightRank;RPFPRank;BWFlyweightRank;BWFeatherweightRank;BWStrawweightRank;BWBantamweightRank;BHeavyweightRank;BLightHeavyweightRank;BMiddleweightRank;BWelterweightRank;BLightweightRank;BFeatherweightRank;BBantamweightRank;BFlyweightRank;BPFPRank;BetterRank;Finish;FinishDetails;FinishRound;FinishRoundTime;TotalFightTimeSecs;RedDecOdds;BlueDecOdds;RSubOdds;BSubOdds;RKOOdds;BKOOdds
38;20241123-xiao_long-quang_le;-144,0;136,0;69,4444;136,0;2024-11-23;Macau, China;China;Red;False;Bantamweight;MALE;3;1;0;0;3,02;0,35;0,0;1,7;0,23;0;1;3;0;0;0;0;0;0;0;0;135;1;0;0;5,4;0,5;0,0;0,84;0,25;2;2;12;0;1;1;0;0;0;0;2;135;26;33;0;0;-2;-2;-1;-9;0;0;0;-5,08;0,0;7;-2,38;0,0;0,86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;KO/TKO;Punch;3,0;1:28;688,0;185,0;225,0;490,0;1000,0;700,0;750,0
39;20241123-maheshate-nikolas_motta;-245,0;200,0;40,8163;200,0;2024-11-23;Macau, China;China;Blue;False;Lightweight;MALE;3;0;1;0;3,64;0,37;0,0;0,0;0,0;1;2;11;0;0;0;1;2;0;0;3;155;0;1;0;3,86;0,29;0,0;0,0;0,0;2;2;12;0;0;1;1;1;0;0;3;155;24;31;0;0;-1;0;0;-1;0;1;0;-7,62;-2,54;7;-0,22;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;U-DEC;;3,0;5:00;900,0;;650,0;;1800,0;;300,0
40;20241116-jon_jones-stipe_miocic;-550,0;410,0;18,1818;410,0;2024-11-16;New York City, New York, USA;USA;Red;True;Heavyweight;MALE;5;1;0;0;4,67;0,52;0,0;1,74;0,34;6;4;46;8;0;0;5;9;0;0;14;240;0;18;0;4,38;0,58;0,5;1,89;0,45;18;1;74;16;0;1;9;5;6;0;21;248;37;42;1;-18;-12;-7;3;-28;-8;4;-6;0,0;-10,16;5;0,29;-0,5;-0,15;;8,0;0,0;;;;;0,0;;;;;;;;3,0;;;;;8,0;;;;;;;;;Red;KO/TKO;Spinning Back Kick;3,0;4:29;869,0;400,0;1400,0;200,0;3500,0;120,0;700,0
41;20241116-charles_oliveira-michael_chandler;-265,0;215,0;37,7358;215,0;2024-11-16;New York City, New York, USA;USA;Red;False;Lightweight;MALE;3;1;0;0;4,49;0,5;0,6;1,59;0,37;3;3;14;1;0;0;0;3;1;0;4;155;1;0;0;3,4;0,55;2,7;2,25;0,4;11;10;63;3;0;0;2;4;16;0;22;155;35;38;0;0;-8;-18;-7;-49;-2;-1;-15;-5,08;-7,62;3;1,09;-2,1;-0,66;;7,0;2,0;;;;;;;;;2,0;;;;;;;;;;;;;7,0;;;;;Red;U-DEC;;5,0;5:00;1500,0;1200,0;1100,0;130,0;900,0;215,0;380,0
42;20241116-bo_nickal-paul_craig;-1350,0;800,0;7,4074;800,0;2024-11-16;New York City, New York, USA;USA;Red;False;Middleweight;MALE;3;2;0;1;2,52;0,44;1,4;1,52;0,2;4;8;34;0;0;0;0;3;6;0;9;185;0;5;0;2,65;0,63;3,6;3,61;0,5;5;0;6;0;0;0;0;1;4;0;5;185;28;36;2;-5;-1;4;8;28;0;2;2;5,08;0,0;8;-0,13;-2,2;-2,09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;U-DEC;;3,0;5:00;900,0;700,0;3000,0;175,0;1400,0;-150,0;3000,0
43;20241116-viviane_araujo-karine_silva;235,0;-290,0;235,0;34,4828;2024-11-16;New York City, New York, USA;USA;Red;False;Women's Flyweight;FEMALE;3;0;5;0;3,04;0,38;1,9;2,79;0,5;5;0;8;0;0;0;1;0;4;0;5;125;1;0;0;4,04;0,47;0,7;1,86;0,43;2;5;35;0;0;0;5;1;0;0;6;125;37;30;-1;5;3;-1;-5;-27;0;-1;4;2,54;-2,54;-7;-1,0;1,2;0,93;;11,0;;;;;;;;;;;;;;;11,0;;;;;;;;;;;;;Blue;U-DEC;;3,0;5:00;900,0;300,0;100,0;2000,0;300,0;2000,0;750,0
44;20241116-mauricio_ruffy-james_llontop;-1000,0;650,0;10,0;650,0;2024-11-16;New York City, New York, USA;USA;Red;False;Catch Weight;MALE;3;2;0;0;5,57;0,41;0,0;0,0;0,0;1;2;7;0;0;0;1;0;0;0;1;155;0;2;0;4,7;0,59;0,0;0,0;0,0;2;0;4;0;0;0;0;2;0;0;2;155;28;25;2;-2;-1;-1;2;3;0;-2;0;2,54;-5,08;-3;0,87;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;U-DEC;;3,0;5:00;900,0;180,0;1200,0;800,0;3500,0;-150,0;1800,0
45;20241116-jonathan_martinez-marcus_mcghee;-105,0;-115,0;95,2381;86,9565;2024-11-16;New York City, New York, USA;USA;Blue;False;Bantamweight;MALE;3;0;3;0;6,06;0,48;0,5;0,46;0,33;3;0;5;0;0;0;0;2;1;0;3;135;1;0;0;4,44;0,49;0,1;0,38;0,35;6;4;39;0;0;0;6;4;0;0;10;135;30;34;-1;3;-3;-7;-4;-34;0;-2;1;0,0;-2,54;4;1,62;0,4;0,08;;;13,0;;;;;;;;;;;13,0;;;;;;;;;;;;;;;;Red;U-DEC;;3,0;5:00;900,0;215,0;250,0;1400,0;1400,0;500,0;225,0
46;20241116-jim_miller-damon_jackson;195,0;-238,0;195,0;42,0168;2024-11-16;New York City, New York, USA;USA;Red;False;Lightweight;MALE;3;1;0;1;2,96;0,42;1,2;2,3;0,32;4;5;30;0;0;1;2;1;2;0;6;155;1;0;0;2,99;0,42;1,7;1,52;0,44;7;17;99;0;0;2;6;6;12;0;26;155;41;36;0;0;-3;-20;-12;-69;0;-5;-10;7,62;0,0;-5;-0,03;-0,5;0,78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;SUB;Guillotine Choke;1,0;2:44;164,0;550,0;130,0;900,0;400,0;500,0;500,0
47;20241116-david_onama-roberto_romero;-1450,0;850,0;6,8966;850,0;2024-11-16;New York City, New York, USA;USA;Red;False;Lightweight;MALE;3;0;0;0;4,93;0,47;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;155;0;2;0;5,6;0,5;0,6;0,73;0,2;2;2;14;0;0;0;1;2;1;0;4;145;30;24;0;-2;-2;-4;-2;-14;0;-2;-1;-7,62;-10,16;-6;-0,67;-0,6;-0,73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;U-DEC;;3,0;5:00;900,0;275,0;1400,0;275,0;4000,0;-120,0;2200,0
48;20241116-marcin_tybura-jhonata_diniz;-105,0;-115,0;95,2381;86,9565;2024-11-16;New York City, New York, USA;USA;Red;False;Heavyweight;MALE;3;0;3;0;3,36;0,53;0,0;0,0;0,0;3;0;6;0;0;0;1;2;0;0;3;254;1;0;0;3,57;0,49;0,1;1,42;0,33;5;8;49;0;1;0;6;4;1;0;12;249;39;33;-1;3;-2;-9;-8;-43;0;-2;-1;2,54;2,54;-6;-0,21;-0,1;-1,42;;;9,0;;;;;9,0;;;;;;;;;;;;;;;;;;;;;;Red;KO/TKO;;2,0;5:00;600,0;350,0;650,0;300,0;2200,0;450,0;165,0
49;20241116-mickey_gall-ramiz_brahimaj;-170,0;142,0;58,8235;142,0;2024-11-16;New York City, New York, USA;USA;Blue;False;Welterweight;MALE;3;1;0;0;2,26;0,44;1,5;1,51;0,35;1;3;11;0;0;0;0;0;2;0;2;170;3;0;0;3,5;0,49;1,6;1,15;0,32;3;6;24;0;0;0;1;0;5;0;6;170;32;31;-2;0;-2;-4;-3;-13;0;0;-3;-10,16;-5,08;-1;-1,24;-0,1;0,36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;KO/TKO;Punch;1,0;2:55;175,0;180,0;300,0;380,0;550,0;450,0;1100,0
50;20241116-bassil_hafez-oban_elliott;250,0;-310,0;250,0;32,2581;2024-11-16;New York City, New York, USA;USA;Blue;False;Welterweight;MALE;3;0;3;0;4,26;0,49;0,0;2,16;0,5;3;0;9;0;1;0;2;0;0;0;3;170;0;1;0;3,71;0,38;0,0;2,21;0,24;1;1;6;0;0;0;1;0;0;0;1;170;32;26;0;2;2;2;-1;3;0;0;0;2,54;0,0;-6;0,55;0,0;-0,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;KO/TKO;Punch;3,0;0:40;640,0;500,0;-150,0;900,0;1200,0;1200,0;450,0
51;20241116-veronica_hardy-eduarda_moura;;;;;2024-11-16;New York City, New York, USA;USA;Blue;False;Women's Flyweight;FEMALE;3;1;0;0;2,6;0,49;0,4;4,37;0,35;2;1;6;0;0;0;0;1;1;0;2;125;0;3;0;3,12;0,45;0,3;0,93;0,41;3;4;21;0;0;1;2;0;1;0;4;125;29;30;1;-3;-1;-2;-3;-15;0;1;0;5,08;5,08;1;-0,52;0,1;3,44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;U-DEC;;3,0;5:00;900,0;;;;;;
52;20241109-neil_magny-carlos_prates;550,0;-800,0;550,0;12,5;2024-11-09;Las Vegas, Nevada, USA;USA;Blue;False;Welterweight;MALE;5;0;4;0;4,39;0,57;0,0;0,44;1,0;4;0;7;0;0;0;0;4;0;0;4;170;1;0;0;3,43;0,46;0,2;2,12;0,38;7;11;88;0;0;4;10;6;2;0;22;170;37;31;-1;4;-3;-18;-11;-81;0;-2;-2;-5,08;-5,08;-6;0,96;-0,2;-1,68;;;15,0;;;;;;;;15,0;;;;;;;;;;;;;;;;;;;Red;KO/TKO;Punch;1,0;4:50;290,0;1100,0;800,0;1600,0;800,0;2000,0;-400,0
53;20241109-gerald_meerschaert-reinier_de_ridder;250,0;-310,0;250,0;32,2581;2024-11-09;Las Vegas, Nevada, USA;USA;Blue;False;Middleweight;MALE;3;0;0;0;3,24;0,57;1,3;6,39;0,38;0;0;0;0;0;0;0;0;0;0;0;185;0;2;0;3,1;0,45;1,5;2,01;0,35;3;9;43;0;0;0;0;1;11;0;12;185;36;34;0;-2;-3;-12;-9;-43;0;-1;-11;7,62;2,54;-2;0,14;-0,2;4,38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;SUB;Arm Triangle;3,0;1:44;704,0;700,0;200,0;600,0;165,0;1400,0;450,0
54;20241109-gaston_bolanos-cortavious_romious;205,0;-250,0;205,0;40,0;2024-11-09;Las Vegas, Nevada, USA;USA;Red;False;Bantamweight;MALE;3;0;1;0;2,1;0,37;1,0;1,97;0,66;1;1;4;0;0;0;1;0;0;0;1;135;1;0;0;3,74;0,5;0,0;0,78;1,0;1;1;5;0;0;0;1;0;0;0;1;135;32;30;-1;1;0;0;0;-1;0;0;0;-7,62;-2,54;-2;-1,64;1,0;1,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;U-DEC;;3,0;5:00;900,0;550,0;275,0;3000,0;165,0;380,0;450,0
55;20241109-luana_pinheiro-gillian_robertson;360,0;-470,0;360,0;21,2766;2024-11-09;Las Vegas, Nevada, USA;USA;Blue;False;Women's Strawweight;FEMALE;3;0;2;0;2,89;0,48;1,0;2,68;0,39;2;6;37;0;0;0;2;2;7;0;11;115;2;0;0;3,42;0,4;0,2;1,8;0,33;4;2;13;0;0;1;1;1;0;0;4;115;31;29;-2;2;-2;7;4;24;0;1;7;7,62;2,54;-2;-0,53;0,8;0,88;;14,0;13,0;;;13,0;;;;;;;;;;;;;14,0;;;;;;;;;;;Red;U-DEC;;3,0;5:00;900,0;600,0;250,0;2200,0;110,0;900,0;500,0
56;20241109-mansur_abdul-malik-dusko_todorovic;-485,0;370,0;20,6186;370,0;2024-11-09;Las Vegas, Nevada, USA;USA;Red;False;Middleweight;MALE;3;1;0;0;5,35;0,57;0,0;0,92;0,12;2;4;14;0;0;0;1;3;0;0;4;185;0;1;0;6,61;0,54;0,0;0,0;0,0;1;0;2;0;0;0;0;1;0;0;1;185;27;30;1;-1;1;3;4;12;0;2;0;-2,54;-12,7;3;-1,26;0,0;0,92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;KO/TKO;Punches;1,0;2:44;164,0;600,0;;800,0;;-250,0;
57;20241109-karolina_kowalkiewicz-denise_gomes;;;;;2024-11-09;Las Vegas, Nevada, USA;USA;Blue;False;Women's Strawweight;FEMALE;3;0;1;0;4,55;0,5;0,9;0,72;0,25;2;2;15;0;0;1;1;2;0;0;4;115;1;0;0;5,54;0,43;0,2;0,31;0,22;4;8;46;1;0;2;6;0;1;0;9;115;39;24;-1;1;-2;-5;-6;-31;-1;2;-1;-2,54;-2,54;-15;-0,99;0,7;0,41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;U-DEC;;3,0;5:00;900,0;;;;;;
58;20241109-elizeu_zaleski_dos_santos-zachary_scroggin;;;;;2024-11-09;Las Vegas, Nevada, USA;USA;Red;False;Welterweight;MALE;3;0;0;0;2,4;0,37;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;170;1;0;1;4,33;0,41;0,5;0,7;0,2;7;4;40;0;0;2;4;3;1;0;10;170;37;28;-1;0;-7;-10;-4;-40;0;-3;-1;10,16;2,54;-9;-1,93;-0,5;-0,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;KO/TKO;Punches;1,0;1:15;75,0;;;;;;
59;20241109-matthew_semelsberger-charles_radtke;;;;;2024-11-09;Las Vegas, Nevada, USA;USA;Blue;False;Welterweight;MALE;3;1;0;0;3,38;0,53;0,0;0,59;0,12;2;1;5;0;0;0;1;1;0;0;2;170;3;0;0;3,77;0,42;0,4;1,01;0,57;2;5;26;0;0;0;3;2;0;0;5;170;31;34;-2;0;0;-3;-4;-21;0;-1;0;-10,16;-7,62;3;-0,39;-0,4;-0,42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;KO/TKO;Punches;1,0;0:51;51,0;;;;;;
60;20241109-cody_stamann-da'mon_blackshear;;;;;2024-11-09;Las Vegas, Nevada, USA;USA;Blue;False;Bantamweight;MALE;3;2;0;1;4,3;0,47;1,4;2,17;0,37;2;3;13;0;0;0;0;1;1;0;2;135;2;0;1;4,32;0,46;0,0;2,17;0,37;3;6;37;0;0;2;4;1;0;0;7;135;35;30;0;0;-1;-5;-3;-24;0;0;1;10,16;20,32;-5;-0,02;1,4;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;SUB;Rear Naked Choke;1,0;4:19;259,0;;;;;;
61;20241109-tresean_gore-antonio_trocoli;;;;;2024-11-09;Las Vegas, Nevada, USA;USA;Red;False;Middleweight;MALE;3;1;0;0;1,29;0,5;0,8;0,84;0,11;0;1;4;0;0;0;0;0;0;0;0;185;0;1;0;3,0;0,54;1,7;3,46;0,75;1;2;6;0;0;0;0;0;1;0;1;185;30;33;1;-1;-1;-1;-1;-2;0;0;-1;15,24;10,16;3;-1,71;-0,9;-2,62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;SUB;Guillotine Choke;1,0;1:23;83,0;;;;;;
62;20241109-melissa_mullins-klaudia_sygula;;;;;2024-11-09;Las Vegas, Nevada, USA;USA;Red;False;Women's Bantamweight;FEMALE;3;0;0;0;1,89;0,37;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;135;1;0;0;3,43;0,56;0,0;1,53;0,37;1;1;5;0;0;0;1;0;0;0;1;135;33;25;-1;0;-1;-1;-1;-5;0;0;0;2,54;2,54;-8;-1,54;0,0;-1,53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;KO/TKO;Punches;2,0;1:20;380,0;;;;;;
63;20241102-brandon_moreno-amir_albazi;-180,0;150,0;55,5556;150,0;2024-11-02;Edmonton, Alberta, Canada;Canada;Red;False;Flyweight;MALE;5;0;5;0;2,72;0,34;0,5;1,39;0,32;5;0;13;0;0;1;1;1;2;0;5;125;2;0;2;3,99;0,43;0,4;1,59;0,46;3;5;53;6;0;1;2;3;3;0;9;125;30;31;-2;5;2;-4;-5;-40;-6;-2;-1;-5,08;-5,08;1;-1,27;0,1;-0,2;;3,0;2,0;;;;;;;;;;;;2,0;;;;;;;;;;;;;3,0;;Red;U-DEC;;5,0;5:00;1500,0;130,0;215,0;800,0;1100,0;400,0;1600,0
64;20241102-erin_blanchfield-rose_namajunas;-155,0;130,0;64,5161;130,0;2024-11-02;Edmonton, Alberta, Canada;Canada;Red;False;Women's Flyweight;FEMALE;3;0;2;0;3,71;0,42;0,4;1,46;0,5;3;5;52;7;0;2;4;2;3;0;11;125;1;0;0;5,24;0,44;0,8;1,86;0,31;6;1;19;0;0;0;3;0;3;0;6;125;25;32;-1;2;-3;5;4;33;7;2;0;2,54;-2,54;7;-1,53;-0,4;-0,4;;5,0;3,0;3,0;;;;;;;;;;;;7,0;5,0;;;;;;;;;;;;6,0;Red;U-DEC;;5,0;5:00;1500,0;140,0;180,0;450,0;1600,0;1600,0;650,0
65;20241102-caio_machado-brendson_ribeiro;-192,0;160,0;52,0833;160,0;2024-11-02;Edmonton, Alberta, Canada;Canada;Blue;False;Light Heavyweight;MALE;3;2;0;0;3,16;0,42;0,4;1,27;0,5;1;2;5;0;0;0;0;1;0;0;1;205;2;0;0;5,82;0,53;0,0;0,0;0,0;1;2;9;0;0;0;1;0;0;0;1;250;30;28;0;0;0;0;0;-4;0;1;0;-2,54;7,62;-2;-2,66;0,4;1,27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;S-DEC;;3,0;5:00;900,0;300,0;500,0;800,0;600,0;200,0;350,0
66;20241102-ariane_da_silva-jasmine_jasudavicius;190,0;-250,0;190,0;40,0;2024-11-02;Edmonton, Alberta, Canada;Canada;Blue;False;Women's Flyweight;FEMALE;3;0;2;0;3,7;0,44;0,6;2,5;0,43;2;2;24;0;0;0;5;0;1;0;6;125;1;0;0;4,04;0,41;0,3;0,52;0,55;3;6;29;0;0;1;3;0;2;0;6;125;30;35;-1;2;-1;0;-4;-5;0;0;-1;2,54;2,54;5;-0,34;0,3;1,98;;14,0;13,0;13,0;;;;;;;;;;;;;14,0;;;;;;;;;;;;;Red;SUB;D'Arce Choke;3,0;2:28;748,0;300,0;-110,0;2000,0;450,0;800,0;750,0
67;20241102-marc-andre_barriault-dustin_stoltzfus;-270,0;220,0;37,037;220,0;2024-11-02;Edmonton, Alberta, Canada;Canada;Blue;False;Middleweight;MALE;3;1;0;0;3,47;0,44;1,1;2,31;0,41;1;5;17;0;0;0;1;1;1;0;3;185;2;0;0;5,98;0,47;0,1;0,21;0,25;2;7;31;0;0;0;2;2;1;0;5;185;34;32;-1;0;-1;-2;-2;-14;0;-1;0;-2,54;2,54;-2;-2,51;1,0;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;KO/TKO;Punch;1,0;4:28;268,0;150,0;350,0;1800,0;800,0;225,0;800,0
68;20241102-mike_malott-trevin_giles;-375,0;295,0;26,6667;295,0;2024-11-02;Edmonton, Alberta, Canada;Canada;Red;False;Welterweight;MALE;3;2;0;0;3,17;0,54;0,3;1,07;0,5;3;6;32;0;0;2;2;3;0;0;7;170;1;0;0;3,85;0,46;0,8;2,27;0,56;4;1;8;0;0;0;0;1;3;0;4;170;32;32;1;0;-1;3;5;24;0;2;-3;-2,54;2,54;0;-0,68;-0,5;-1,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;U-DEC;;3,0;5:00;900,0;275,0;550,0;215,0;2000,0;240,0;650,0
69;20241102-aiemann_zahabi-pedro_munhoz;;;;;2024-11-02;Edmonton, Alberta, Canada;Canada;Red;False;Bantamweight;MALE;3;2;0;0;5,38;0,41;0,5;0,48;0,16;4;9;51;0;0;0;4;3;3;0;10;135;0;4;0;4,06;0,46;0,0;0,16;0,14;4;2;17;0;0;0;3;2;0;0;5;135;36;38;2;-4;0;5;7;34;0;1;3;-5,08;-7,62;2;1,32;0,5;0,32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;U-DEC;;3,0;5:00;900,0;;;;;;
70;20241102-charles_jourdain-victor_henry;;;;;2024-11-02;Edmonton, Alberta, Canada;Canada;Red;False;Bantamweight;MALE;3;0;2;0;7,66;0,53;0,4;0,84;0,36;2;1;14;0;0;1;1;1;0;0;3;135;2;0;1;5,43;0,48;0,6;0,34;0,21;2;7;36;0;0;0;2;2;2;0;6;135;28;37;-2;2;0;-3;-6;-22;0;-1;-2;-5,08;-2,54;9;2,23;-0,2;0,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;SUB;Guillotine Choke;2,0;3:43;523,0;;;;;;
71;20241102-jack_shore-youssef_zalal;;;;;2024-11-02;Edmonton, Alberta, Canada;Canada;Blue;False;Featherweight;MALE;3;0;2;1;2,84;0,49;1,5;2,34;0,35;3;3;24;0;0;0;3;0;2;0;5;145;1;0;0;3,6;0,58;0,6;3,22;0,39;5;2;20;0;0;1;2;0;3;0;6;145;29;28;-1;2;-2;-1;1;4;0;0;-1;5,08;2,54;-1;-0,76;0,9;-0,88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;SUB;Arm Triangle;2,0;0:59;359,0;;;;;;
72;20241102-alexandr_romanov-rodrigo_nascimento;;;;;2024-11-02;Edmonton, Alberta, Canada;Canada;Red;False;Heavyweight;MALE;3;1;0;0;3,71;0,47;0,5;1,02;0,37;3;2;18;0;0;2;1;0;2;0;5;246;1;0;0;3,78;0,51;0,9;4,49;0,55;5;3;17;0;0;1;1;1;3;0;6;262;33;31;0;0;-2;-1;-1;1;0;-1;-1;0,0;12,7;-2;-0,07;-0,4;-3,47;;15,0;13,0;;;;;13,0;;;;;;;;;;;;;15,0;;;;;;;;;Red;U-DEC;;3,0;5:00;900,0;;;;;;
73;20241102-serhiy_sidey-garrett_armfield;;;;;2024-11-02;Edmonton, Alberta, Canada;Canada;Red;False;Bantamweight;MALE;3;1;0;0;5,35;0,53;0,6;1,1;0,5;2;2;9;0;0;0;1;1;0;0;2;135;1;0;0;4,87;0,39;1,4;0,0;0,0;1;1;4;0;0;0;0;1;0;0;1;135;28;28;0;0;1;1;1;5;0;0;0;-12,7;-5,08;0;0,48;-0,8;1,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;S-DEC;;3,0;5:00;900,0;;;;;;
74;20241102-chad_anheliger-cody_gibson;;;;;2024-11-02;Edmonton, Alberta, Canada;Canada;Blue;False;Bantamweight;MALE;3;0;1;0;3,47;0,44;0,7;2,18;0,4;1;5;16;0;0;0;0;1;1;0;2;135;0;1;0;3,11;0,46;0,5;0,68;0,3;2;2;15;0;0;1;1;1;0;0;3;135;37;37;0;0;-1;-1;3;1;0;0;1;10,16;17,78;0;0,36;0,2;1,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;U-DEC;;3,0;5:00;900,0;;;;;;
75;20241102-jamey-lyn_horth-ivana_petrovic;;;;;2024-11-02;Edmonton, Alberta, Canada;Canada;Red;False;Women's Flyweight;FEMALE;3;0;1;0;2,0;0,39;1,1;2,53;0,43;1;1;6;0;0;0;0;0;1;0;1;125;1;0;0;3,29;0,56;0,0;1,0;0,37;1;1;6;0;0;0;1;0;0;0;1;125;34;30;-1;1;0;0;0;0;0;0;1;2,54;10,16;-4;-1,29;1,1;1,53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;S-DEC;;3,0;5:00;900,0;;;;;;
76;20241026-ilia_topuria-max_holloway;-305,0;245,0;32,7869;245,0;2024-10-26;Abu Dhabi, Abu Dhabi, United Arab Emirates;United Arab Emirates;Red;True;Featherweight;MALE;5;0;3;0;7,16;0,47;0,3;0,25;0,53;13;7;98;9;0;1;8;11;2;0;22;145;0;7;0;4,69;0,47;1,1;2,02;0,61;7;0;16;1;0;0;2;4;1;0;7;145;27;32;0;-4;6;15;7;82;8;7;1;10,16;0,0;5;2,47;-0,8;-1,77;;2,0;0,0;;;;;;;;;;0,0;;;4,0;;;;;;;;;5,0;2,0;;;11,0;Red;KO/TKO;Punch;3,0;1:34;694,0;225,0;450,0;500,0;2800,0;165,0;550,0
77;20241026-robert_whittaker-khamzat_chimaev;200,0;-245,0;200,0;40,8163;2024-10-26;Abu Dhabi, Abu Dhabi, United Arab Emirates;United Arab Emirates;Blue;False;Middleweight;MALE;3;0;7;0;5,36;0,58;2,8;4,31;0,46;7;0;12;0;1;0;1;2;3;0;7;185;0;2;0;4,54;0,43;0,0;0,8;0,38;9;5;64;4;0;1;10;6;0;0;17;185;33;30;0;5;-2;-10;-5;-52;-4;-4;3;5,08;5,08;-3;0,82;2,8;3,51;;13,0;3,0;;;;;;;3,0;;;;;;;;;;;;;13,0;;;;;;;Red;SUB;Rear Naked Choke;1,0;3:34;214,0;600,0;550,0;2500,0;240,0;380,0;175,0
78;20241026-magomed_ankalaev-aleksandar_rakic;-340,0;270,0;29,4118;270,0;2024-10-26;Abu Dhabi, Abu Dhabi, United Arab Emirates;United Arab Emirates;Red;False;Light Heavyweight;MALE;3;2;0;0;4,16;0,5;0,1;0,66;0,23;4;3;22;0;0;0;4;2;0;0;6;205;0;10;1;3,64;0,52;0,0;0,92;0,31;9;1;33;1;0;0;4;6;0;0;10;205;32;32;2;-10;-5;-4;2;-11;-1;-4;0;2,54;7,62;0;0,52;0,1;-0,26;;;1,0;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;Red;U-DEC;;3,0;5:00;900,0;-115,0;;1600,0;;225,0;
79;20241026-lerone_murphy-dan_ige;-340,0;270,0;29,4118;270,0;2024-10-26;Abu Dhabi, Abu Dhabi, United Arab Emirates;United Arab Emirates;Red;False;Featherweight;MALE;3;1;0;0;3,66;0,45;0,2;0,99;0,26;6;7;49;0;0;2;3;4;2;0;11;145;0;6;1;4,8;0,54;0,6;1,78;0,54;6;0;20;0;0;1;3;2;0;0;6;145;33;33;1;-6;0;5;7;29;0;2;2;-5,08;-5,08;0;-1,14;-0,4;-0,79;;14,0;12,0;;;;;;;;;;12,0;;;;;;;;;;;;;14,0;;;;Red;U-DEC;;3,0;5:00;900,0;-175,0;400,0;2500,0;1800,0;500,0;800,0
